31.07.2013;"19:01";"19:02";"01.07.2013"
29.06.2013;"14:34";"14:35";"01.06.2013"
31.05.2013;"19:10";"19:11";"01.05.2013"
30.04.2013;"19:20";"19:21";"01.04.2013"
30.03.2013;"14:20";"14:22";"01.03.2013"
28.02.2013;"19:24";"19:25";"01.02.2013"
31.01.2013;"19:02";"19:04";"01.01.2013"
02.01.2013;"08:33";"08:34";"01.12.2012"
30.11.2012;"19:19";"19:21";"01.11.2012"
31.10.2012;"19:06";"19:08";"01.10.2012"
01.10.2012;"07:06";"07:07";"01.09.2012"
31.08.2012;"19:30";"19:32";"01.08.2012"
31.07.2012;"19:12";"19:13";"01.07.2012"
30.06.2012;"14:04";"14:06";"01.06.2012"
31.05.2012;"19:05";"19:06";"01.05.2012"
30.04.2012;"19:03";"19:04";"01.04.2012"
31.03.2012;"14:34";"14:36";"01.03.2012"
29.02.2012;"19:02";"19:04";"01.02.2012"
31.01.2012;"19:01";"19:03";"01.01.2012"
02.01.2012;"11:42";"11:43";"01.12.2011"
30.11.2011;"19:02";"19:03";"01.11.2011"
31.10.2011;"18:59";"19:01";"01.10.2011"
30.09.2011;"19:06";"19:08";"01.09.2011"
31.08.2011;"19:00";"19:02";"01.08.2011"
30.07.2011;"14:01";"14:03";"01.07.2011"
30.06.2011;"19:12";"19:13";"01.06.2011"
31.05.2011;"19:11";"19:12";"01.05.2011"
30.04.2011;"14:04";"14:05";"01.04.2011"
31.03.2011;"19:33";"19:35";"01.03.2011"
28.02.2011;"19:09";"19:11";"01.02.2011"
31.01.2011;"19:23";"19:25";"01.01.2011"
